crash_id,crash_code,crash_type,month,year,num_fatalities
1,20241115,Single,12,2024,1
2,20241125,Single,12,2024,1
3,20246013,Single,12,2024,1
4,20241002,Single,12,2024,1
5,20243185,Single,12,2024,1
6,20244016,Single,12,2024,1
7,20243168,Single,12,2024,1
8,20246003,Single,12,2024,1
9,20246001,Single,12,2024,1
10,20244081,Single,12,2024,1
11,20241087,Single,12,2024,1
12,20241054,Single,12,2024,1
13,20244042,Single,12,2024,1
14,20243246,Single,12,2024,1
15,20241101,Single,12,2024,1
16,20241216,Single,12,2024,1
17,20241300,Single,12,2024,1
18,20243007,Single,12,2024,1
19,20241278,Single,12,2024,1
20,20241149,Single,12,2024,1
21,20241068,Single,12,2024,1
22,20243273,Single,12,2024,1
23,20244020,Single,12,2024,1
24,20244055,Multiple,12,2024,2
25,20244055,Multiple,12,2024,2
26,20241094,Single,12,2024,1
27,20243160,Multiple,12,2024,2
28,20243160,Multiple,12,2024,2
29,20243209,Single,12,2024,1
30,20244001,Single,12,2024,1
31,20243243,Single,12,2024,1
32,20246016,Single,12,2024,1
33,20241119,Multiple,12,2024,2
34,20241119,Multiple,12,2024,2
35,20241169,Single,12,2024,1
36,20241291,Single,12,2024,1
37,20243036,Single,12,2024,1
38,20244026,Single,12,2024,1
39,20241077,Single,12,2024,1
40,20241028,Single,12,2024,1
41,20241022,Single,12,2024,1
42,20243015,Single,12,2024,1
43,20244023,Single,12,2024,1
44,20241098,Single,12,2024,1
45,20243114,Multiple,12,2024,2
46,20243114,Multiple,12,2024,2
47,20241040,Single,12,2024,1
48,20241174,Single,12,2024,1
49,20241088,Single,12,2024,1
50,20241255,Single,12,2024,1
51,20241053,Multiple,12,2024,2
52,20241053,Multiple,12,2024,2
53,20243046,Multiple,12,2024,2
54,20243046,Multiple,12,2024,2
55,20241080,Single,12,2024,1
56,20243044,Single,12,2024,1
57,20241274,Single,12,2024,1
58,20243176,Single,12,2024,1
59,20241181,Single,12,2024,1
60,20243110,Single,12,2024,1
61,20244044,Single,12,2024,1
62,20243147,Single,12,2024,1
63,20244019,Single,12,2024,1
64,20241194,Single,12,2024,1
65,20241139,Single,12,2024,1
66,20241197,Single,12,2024,1
67,20243220,Single,12,2024,1
68,20243267,Single,12,2024,1
69,20241057,Single,12,2024,1
70,20243174,Single,12,2024,1
71,20241166,Single,12,2024,1
72,20243213,Single,11,2024,1
73,20241096,Single,11,2024,1
74,20242089,Single,11,2024,1
75,20243073,Single,11,2024,1
76,20241027,Single,11,2024,1
77,20241163,Single,11,2024,1
78,20243143,Single,11,2024,1
79,20241222,Single,11,2024,1
80,20241218,Single,11,2024,1
81,20243249,Single,11,2024,1
82,20243098,Single,11,2024,1
83,20241306,Single,11,2024,1
84,20243037,Single,11,2024,1
85,20244083,Single,11,2024,1
86,20241196,Single,11,2024,1
87,20244028,Multiple,11,2024,2
88,20244028,Multiple,11,2024,2
89,20243038,Single,11,2024,1
90,20242023,Single,11,2024,1
91,20242230,Single,11,2024,1
92,20242127,Single,11,2024,1
93,20242120,Single,11,2024,1
94,20241106,Single,11,2024,1
95,20241230,Single,11,2024,1
96,20241055,Single,11,2024,1
97,20241267,Single,11,2024,1
98,20242260,Single,11,2024,1
99,20242057,Single,11,2024,1
100,20243153,Single,11,2024,1
101,20242161,Single,11,2024,1
102,20241236,Single,11,2024,1
103,20243172,Single,11,2024,1
104,20241188,Single,11,2024,1
105,20243191,Multiple,11,2024,2
106,20243191,Multiple,11,2024,2
107,20241256,Multiple,11,2024,2
108,20241256,Multiple,11,2024,2
109,20242019,Single,11,2024,1
110,20243008,Single,11,2024,1
111,20243001,Single,11,2024,1
112,20243041,Single,11,2024,1
113,20244021,Single,11,2024,1
114,20243113,Single,11,2024,1
115,20241107,Single,11,2024,1
116,20243022,Single,11,2024,1
117,20248002,Single,11,2024,1
118,20242088,Single,11,2024,1
119,20241173,Multiple,11,2024,2
120,20241173,Multiple,11,2024,2
121,20241004,Single,11,2024,1
122,20246004,Single,11,2024,1
123,20241201,Single,11,2024,1
124,20241029,Single,11,2024,1
125,20243005,Single,11,2024,1
126,20241261,Single,11,2024,1
127,20244024,Single,11,2024,1
128,20241215,Single,11,2024,1
129,20243186,Single,11,2024,1
130,20243208,Single,11,2024,1
131,20241134,Single,11,2024,1
132,20243040,Multiple,11,2024,2
133,20243040,Multiple,11,2024,2
134,20241263,Single,11,2024,1
135,20241302,Single,11,2024,1
136,20241147,Single,11,2024,1
137,20243248,Single,11,2024,1
138,20243096,Single,11,2024,1
139,20241150,Single,11,2024,1
140,20241247,Single,11,2024,1
141,20241234,Single,11,2024,1
142,20242110,Single,11,2024,1
143,20242052,Single,11,2024,1
144,20243247,Single,11,2024,1
145,20243144,Single,11,2024,1
146,20241235,Single,11,2024,1
147,20243087,Multiple,11,2024,2
148,20243087,Multiple,11,2024,2
149,20244061,Single,11,2024,1
150,20241009,Single,11,2024,1
151,20241072,Single,11,2024,1
152,20243129,Single,11,2024,1
153,20242219,Single,11,2024,1
154,20241219,Single,11,2024,1
155,20244010,Single,11,2024,1
156,20244040,Single,11,2024,1
157,20243171,Single,11,2024,1
158,20242075,Single,11,2024,1
159,20243079,Single,11,2024,1
160,20241045,Single,11,2024,1
161,20243017,Multiple,11,2024,2
162,20243017,Multiple,11,2024,2
163,20241160,Single,11,2024,1
164,20241081,Single,11,2024,1
165,20241135,Single,11,2024,1
166,20241209,Single,11,2024,1
167,20242140,Multiple,10,2024,2
168,20242140,Multiple,10,2024,2
169,20242142,Single,10,2024,1
170,20243107,Single,10,2024,1
171,20243020,Single,10,2024,1
172,20241151,Single,10,2024,1
173,20243158,Single,10,2024,1
174,20241286,Single,10,2024,1
175,20243102,Single,10,2024,1
176,20241303,Single,10,2024,1
177,20246029,Single,10,2024,1
178,20248005,Single,10,2024,1
179,20244018,Single,10,2024,1
180,20241060,Multiple,10,2024,2
181,20241060,Multiple,10,2024,2
182,20242022,Single,10,2024,1
183,20241037,Single,10,2024,1
184,20241257,Single,10,2024,1
185,20241128,Single,10,2024,1
186,20243089,Single,10,2024,1
187,20242181,Single,10,2024,1
188,20243082,Single,10,2024,1
189,20243150,Single,10,2024,1
190,20243170,Single,10,2024,1
191,20243239,Single,10,2024,1
