State,National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
NSW,Wagga Wagga,Riverina,Inner Regional Australia,Arterial Road,l1
NSW,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Local Road,l2
TAS,Northern Midlands,Launceston and North East,Inner Regional Australia,Local Road,l3
NSW,Armidale,New England and North West,Outer Regional Australia,National or State Highway,l4
QLD,Lockyer Valley,Toowoomba,Inner Regional Australia,National or State Highway,l5
SA,Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,l6
QLD,Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,Local Road,l7
TAS,Brighton,Hobart,Inner Regional Australia,Local Road,l8
TAS,West Tamar,Launceston and North East,Outer Regional Australia,National or State Highway,l9
SA,Mid Murray,South Australia - South East,Outer Regional Australia,Local Road,l10
NSW,Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,National or State Highway,l11
NSW,Upper Lachlan,Capital Region,Inner Regional Australia,National or State Highway,l12
SA,Wattle Range,South Australia - South East,Outer Regional Australia,Local Road,l13
QLD,Cairns,Cairns,Outer Regional Australia,Collector Road,l14
NSW,Wollongong,Illawarra,Major Cities of Australia,National or State Highway,l15
NSW,Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,Collector Road,l16
NSW,Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,National or State Highway,l17
QLD,South Burnett,Wide Bay,Outer Regional Australia,National or State Highway,l18
NSW,Mid-Western,Central West,Outer Regional Australia,Arterial Road,l19
NSW,Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,Collector Road,l20
NSW,Greater Hume,Murray,Outer Regional Australia,National or State Highway,l21
QLD,Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,Local Road,l22
SA,Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,Sub-arterial Road,l23
SA,Wattle Range,South Australia - South East,Outer Regional Australia,National or State Highway,l24
NSW,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,National or State Highway,l25
