Time,Time of day,time_id
4:00,Night,t1
6:15,Day,t2
9:43,Day,t3
10:35,Day,t4
13:00,Day,t5
13:39,Day,t6
19:00,Night,t7
19:30,Night,t8
19:40,Night,t9
22:42,Night,t10
23:00,Night,t11
23:10,Night,t12
1:00,Night,t13
9:00,Day,t14
10:48,Day,t15
12:05,Day,t16
13:58,Day,t17
14:00,Day,t18
14:43,Day,t19
16:00,Day,t20
3:30,Night,t21
10:25,Day,t22
10:36,Day,t23
12:10,Day,t24
14:50,Day,t25
15:00,Day,t26
15:18,Day,t27
15:25,Day,t28
21:30,Night,t29
2:00,Night,t30
6:35,Day,t31
8:09,Day,t32
8:20,Day,t33
11:20,Day,t34
12:00,Day,t35
12:35,Day,t36
12:50,Day,t37
14:15,Day,t38
14:48,Day,t39
18:20,Night,t40
22:19,Night,t41
1:39,Night,t42
15:40,Day,t43
8:30,Day,t44
11:00,Day,t45
13:30,Day,t46
18:30,Night,t47
21:10,Night,t48
22:55,Night,t49
23:55,Night,t50
0:00,Night,t51
12:25,Day,t52
17:00,Day,t53
4:44,Night,t54
7:05,Day,t55
10:00,Day,t56
10:50,Day,t57
12:42,Day,t58
14:30,Day,t59
17:30,Day,t60
18:00,Night,t61
20:00,Night,t62
22:35,Night,t63
6:00,Day,t64
6:23,Day,t65
11:30,Day,t66
12:12,Day,t67
14:20,Day,t68
15:05,Day,t69
15:07,Day,t70
15:08,Day,t71
15:38,Day,t72
16:30,Day,t73
17:57,Day,t74
5:20,Night,t75
9:25,Day,t76
11:10,Day,t77
17:20,Day,t78
18:39,Night,t79
21:00,Night,t80
21:35,Night,t81
23:24,Night,t82
1:30,Night,t83
2:10,Night,t84
3:00,Night,t85
7:15,Day,t86
8:10,Day,t87
10:40,Day,t88
11:04,Day,t89
14:45,Day,t90
0:01,Night,t91
4:02,Night,t92
5:45,Night,t93
12:20,Day,t94
17:25,Day,t95
17:44,Day,t96
18:15,Night,t97
5:00,Night,t98
10:45,Day,t99
11:48,Day,t100
11:58,Day,t101
12:37,Day,t102
12:55,Day,t103
14:33,Day,t104
16:40,Day,t105
20:10,Night,t106
17:15,Day,t107
21:50,Night,t108
22:08,Night,t109
6:50,Day,t110
11:22,Day,t111
15:50,Day,t112
16:22,Day,t113
16:58,Day,t114
17:50,Day,t115
19:57,Night,t116
22:20,Night,t117
22:45,Night,t118
23:38,Night,t119
0:25,Night,t120
6:30,Day,t121
8:00,Day,t122
5:06,Night,t123
13:10,Day,t124
3:45,Night,t125
9:49,Day,t126
13:29,Day,t127
14:42,Day,t128
15:35,Day,t129
16:45,Day,t130
4:50,Night,t131
8:28,Day,t132
13:54,Day,t133
15:15,Day,t134
16:35,Day,t135
17:31,Day,t136
0:18,Night,t137
5:15,Night,t138
20:20,Night,t139
13:45,Day,t140
15:34,Day,t141
18:45,Night,t142
21:27,Night,t143
23:30,Night,t144
2:42,Night,t145
12:18,Day,t146
12:40,Day,t147
20:18,Night,t148
20:30,Night,t149
21:22,Night,t150
10:09,Day,t151
11:50,Day,t152
17:38,Day,t153
9:15,Day,t154
10:05,Day,t155
11:27,Day,t156
15:47,Day,t157
17:35,Day,t158
19:06,Night,t159
1:15,Night,t160
3:15,Night,t161
10:04,Day,t162
19:45,Night,t163
21:20,Night,t164
5:25,Night,t165
7:04,Day,t166
12:17,Day,t167
21:05,Night,t168
12:36,Day,t169
13:11,Day,t170
15:20,Day,t171
16:50,Day,t172
17:46,Day,t173
18:40,Night,t174
22:06,Night,t175
8:59,Day,t176
17:45,Day,t177
18:54,Night,t178
19:55,Night,t179
0:48,Night,t180
5:38,Night,t181
7:00,Day,t182
9:30,Day,t183
15:45,Day,t184
17:01,Day,t185
17:40,Day,t186
19:48,Night,t187
0:55,Night,t188
14:54,Day,t189
16:20,Day,t190
18:16,Night,t191
19:14,Night,t192
23:25,Night,t193
0:40,Night,t194
6:48,Day,t195
8:13,Day,t196
12:28,Day,t197
15:31,Day,t198
15:55,Day,t199
18:25,Night,t200
21:52,Night,t201
6:40,Day,t202
10:23,Day,t203
19:54,Night,t204
20:40,Night,t205
20:55,Night,t206
9:35,Day,t207
22:41,Night,t208
11:46,Day,t209
12:38,Day,t210
8:05,Day,t211
8:15,Day,t212
11:28,Day,t213
12:08,Day,t214
13:20,Day,t215
13:24,Day,t216
19:20,Night,t217
20:37,Night,t218
22:00,Night,t219
23:28,Night,t220
0:30,Night,t221
9:07,Day,t222
19:25,Night,t223
4:07,Night,t224
9:26,Day,t225
10:24,Day,t226
10:41,Day,t227
9:55,Day,t228
11:53,Day,t229
16:13,Day,t230
6:20,Day,t231
11:45,Day,t232
14:10,Day,t233
14:13,Day,t234
15:30,Day,t235
18:59,Night,t236
1:35,Night,t237
6:05,Day,t238
13:59,Day,t239
22:22,Night,t240
14:39,Day,t241
16:48,Day,t242
19:08,Night,t243
21:04,Night,t244
8:40,Day,t245
13:38,Day,t246
14:51,Day,t247
19:10,Night,t248
3:55,Night,t249
9:13,Day,t250
12:09,Day,t251
12:15,Day,t252
14:02,Day,t253
16:15,Day,t254
20:19,Night,t255
23:15,Night,t256
17:19,Day,t257
19:18,Night,t258
7:40,Day,t259
11:29,Day,t260
17:05,Day,t261
0:41,Night,t262
3:23,Night,t263
13:35,Day,t264
21:12,Night,t265
18:10,Night,t266
18:55,Night,t267
21:45,Night,t268
22:40,Night,t269
17:54,Day,t270
16:36,Day,t271
16:32,Day,t272
22:25,Night,t273
22:38,Night,t274
12:34,Day,t275
6:29,Day,t276
7:14,Day,t277
22:48,Night,t278
0:42,Night,t279
4:42,Night,t280
15:11,Day,t281
16:08,Day,t282
17:10,Day,t283
18:26,Night,t284
19:05,Night,t285
19:13,Night,t286
21:57,Night,t287
12:48,Day,t288
13:15,Day,t289
18:36,Night,t290
4:25,Night,t291
7:22,Day,t292
14:23,Day,t293
19:33,Night,t294
1:06,Night,t295
2:30,Night,t296
