crash_id,date_id
1,d1
2,d2
3,d1
4,d2
5,d2
6,d1
7,d3
8,d3
9,d3
10,d3
11,d3
12,d3
13,d4
14,d5
15,d5
16,d6
17,d5
18,d6
19,d5
20,d5
21,d7
22,d7
23,d7
24,d8
25,d8
26,d8
27,d8
28,d8
29,d8
30,d8
31,d7
32,d7
33,d7
34,d7
35,d7
36,d9
37,d9
38,d9
39,d9
40,d9
41,d9
42,d9
43,d9
44,d9
45,d9
46,d9
47,d9
48,d9
49,d9
50,d9
51,d9
52,d9
53,d9
54,d9
55,d10
56,d10
57,d10
58,d11
59,d11
60,d11
61,d12
62,d12
63,d11
64,d12
65,d12
66,d12
67,d13
68,d14
69,d14
70,d13
71,d13
72,d2
73,d2
74,d2
75,d2
76,d2
77,d2
78,d2
79,d2
80,d2
81,d3
82,d3
83,d3
84,d5
85,d5
86,d5
87,d5
88,d5
89,d5
90,d5
91,d5
92,d5
93,d5
94,d5
95,d5
96,d5
97,d5
98,d5
99,d7
100,d7
101,d7
102,d7
103,d7
104,d7
105,d7
106,d7
107,d7
108,d7
109,d7
110,d7
111,d7
112,d7
113,d7
114,d7
115,d7
116,d9
117,d9
118,d9
119,d9
120,d9
121,d9
122,d9
123,d9
124,d9
125,d9
126,d9
127,d9
128,d9
129,d9
130,d9
131,d10
132,d10
133,d10
134,d10
135,d10
136,d10
137,d10
138,d10
139,d10
140,d10
141,d10
142,d10
143,d10
144,d12
145,d12
146,d12
147,d12
148,d12
149,d12
150,d12
151,d12
152,d12
153,d12
154,d12
155,d12
156,d12
157,d12
158,d12
159,d12
160,d12
161,d12
162,d12
163,d14
164,d14
165,d14
166,d14
167,d2
168,d2
169,d2
170,d2
171,d2
172,d2
173,d2
174,d2
175,d2
176,d2
177,d2
178,d2
179,d3
180,d3
181,d3
182,d3
183,d3
184,d3
185,d4
186,d4
187,d5
188,d5
189,d5
190,d5
191,d5
192,d7
193,d7
194,d7
195,d7
196,d7
197,d7
198,d7
199,d7
200,d7
201,d9
202,d9
203,d9
204,d9
205,d9
206,d9
207,d9
208,d9
209,d9
210,d9
211,d9
212,d9
213,d9
214,d9
215,d9
216,d9
217,d9
218,d10
219,d10
220,d10
221,d10
222,d10
223,d10
224,d10
225,d10
226,d10
227,d10
228,d10
229,d10
230,d10
231,d10
232,d10
233,d10
234,d10
235,d12
236,d12
237,d12
238,d12
239,d12
240,d12
241,d12
242,d12
243,d14
244,d14
245,d14
246,d14
247,d14
248,d14
249,d14
250,d14
251,d14
252,d2
253,d2
254,d2
255,d2
256,d2
257,d2
258,d2
259,d3
260,d3
261,d3
262,d3
263,d3
264,d3
265,d3
266,d3
267,d3
268,d5
269,d5
270,d5
271,d5
272,d5
273,d5
274,d5
275,d5
276,d7
277,d7
278,d7
279,d7
280,d7
281,d7
282,d7
283,d7
284,d7
285,d7
286,d7
287,d7
288,d9
289,d9
290,d9
291,d9
292,d9
293,d9
294,d9
295,d9
296,d9
297,d9
298,d9
299,d9
300,d9
301,d10
302,d10
303,d10
304,d10
305,d10
306,d10
307,d10
308,d10
309,d10
310,d10
311,d12
312,d12
313,d12
314,d14
315,d14
316,d14
317,d14
318,d14
319,d14
320,d14
321,d14
322,d14
323,d14
324,d2
325,d2
326,d2
327,d2
328,d2
329,d2
330,d2
331,d2
332,d2
333,d2
334,d2
335,d2
336,d2
337,d3
338,d3
339,d3
340,d3
341,d3
342,d4
343,d4
344,d5
345,d5
346,d5
347,d5
348,d5
349,d5
350,d5
351,d5
352,d5
353,d7
354,d7
355,d7
356,d7
357,d7
358,d7
359,d7
360,d7
361,d7
362,d7
363,d7
364,d7
365,d7
366,d7
367,d9
368,d9
369,d9
370,d9
371,d9
372,d9
373,d9
374,d9
375,d9
376,d9
377,d10
378,d10
379,d10
380,d10
381,d10
382,d10
383,d10
384,d10
385,d12
386,d12
387,d12
388,d12
389,d12
390,d12
391,d12
392,d12
393,d14
394,d14
395,d14
396,d14
397,d14
398,d14
399,d2
400,d2
401,d2
402,d2
403,d2
404,d2
405,d2
406,d2
407,d2
408,d2
409,d2
410,d3
411,d5
412,d5
413,d5
414,d5
415,d5
416,d5
417,d5
418,d5
419,d5
420,d5
421,d5
422,d5
423,d5
424,d5
425,d7
426,d7
427,d7
428,d7
429,d7
430,d7
431,d7
432,d7
433,d7
434,d7
435,d7
436,d9
437,d9
438,d9
439,d9
440,d9
441,d9
442,d9
443,d9
444,d9
445,d9
446,d9
447,d9
448,d9
449,d9
450,d9
451,d9
452,d9
453,d10
454,d10
455,d10
456,d10
457,d10
458,d10
459,d10
460,d10
461,d10
462,d10
463,d10
464,d10
465,d10
466,d12
467,d12
468,d12
469,d12
470,d12
471,d12
472,d12
473,d12
474,d12
475,d12
476,d12
477,d12
478,d12
479,d12
480,d12
481,d12
482,d14
483,d14
484,d14
485,d14
486,d14
487,d14
488,d14
489,d14
490,d14
491,d14
492,d14
493,d14
494,d14
495,d14
496,d2
497,d2
498,d2
499,d2
500,d2
501,d2
502,d2
503,d2
504,d3
505,d3
506,d3
507,d3
508,d4
509,d5
510,d5
511,d5
512,d5
513,d5
514,d5
515,d5
516,d5
517,d5
518,d5
519,d5
520,d5
521,d5
522,d5
523,d5
524,d7
525,d7
526,d7
527,d9
528,d9
529,d9
530,d9
531,d9
532,d9
533,d9
534,d9
535,d9
536,d9
537,d9
538,d9
539,d9
540,d9
541,d9
542,d9
543,d9
544,d9
545,d9
546,d10
547,d10
548,d10
549,d10
550,d10
551,d12
552,d12
553,d12
554,d12
555,d12
556,d12
557,d12
558,d12
559,d12
560,d12
561,d12
562,d14
563,d14
564,d14
565,d14
566,d14
567,d14
568,d14
569,d14
570,d14
571,d14
572,d14
573,d14
574,d2
575,d2
576,d2
577,d2
578,d3
579,d3
580,d3
581,d3
582,d3
583,d3
584,d5
585,d5
586,d5
587,d7
588,d7
589,d7
590,d9
591,d9
592,d9
593,d9
594,d9
595,d9
596,d9
597,d9
598,d9
599,d9
600,d9
601,d10
602,d10
603,d10
604,d10
605,d10
606,d10
607,d10
608,d10
609,d10
610,d12
611,d12
612,d12
613,d12
614,d12
615,d12
616,d12
617,d12
618,d12
619,d12
620,d12
621,d12
622,d12
623,d12
624,d12
625,d12
626,d14
627,d14
628,d14
629,d14
630,d14
631,d14
632,d14
633,d14
634,d14
635,d14
636,d14
