crash_id,person_id
1,p1
2,p2
3,p3
4,p4
5,p5
6,p6
7,p7
8,p8
9,p9
10,p10
11,p11
12,p12
13,p13
14,p14
15,p15
16,p16
17,p17
18,p18
19,p17
20,p19
21,p20
22,p15
23,p21
24,p22
25,p23
26,p21
27,p23
28,p24
29,p25
30,p26
31,p27
32,p28
33,p29
34,p30
35,p31
36,p32
37,p33
38,p34
39,p35
40,p36
41,p24
42,p37
43,p38
44,p39
45,p40
46,p41
47,p42
48,p43
49,p20
50,p44
51,p45
52,p46
53,p47
54,p48
55,p49
56,p50
57,p51
58,p50
59,p52
60,p53
61,p54
62,p18
63,p37
64,p55
65,p56
66,p57
67,p58
68,p59
69,p60
70,p61
71,p44
72,p62
73,p63
74,p64
75,p39
76,p65
77,p66
78,p67
79,p68
80,p69
81,p70
82,p71
83,p72
84,p73
85,p69
86,p74
87,p75
88,p76
89,p77
90,p78
91,p79
92,p80
93,p21
94,p81
95,p82
96,p12
97,p83
98,p59
99,p84
100,p17
101,p85
102,p86
103,p87
104,p6
105,p88
106,p2
107,p89
108,p50
109,p88
110,p90
111,p91
112,p92
113,p93
114,p72
115,p94
116,p95
117,p32
118,p45
119,p96
120,p97
121,p98
122,p62
123,p99
124,p100
125,p101
126,p102
127,p103
128,p104
129,p105
130,p106
131,p107
132,p12
133,p108
134,p63
135,p109
136,p110
137,p111
138,p112
139,p113
140,p92
141,p114
142,p24
143,p26
144,p115
145,p116
146,p117
147,p9
148,p118
149,p119
150,p18
151,p120
152,p117
153,p121
154,p122
155,p69
156,p123
157,p124
158,p125
159,p126
160,p117
161,p127
162,p128
163,p129
164,p130
165,p17
166,p131
167,p132
168,p133
169,p49
170,p134
171,p58
172,p135
173,p53
174,p136
175,p8
176,p137
177,p138
178,p139
179,p140
180,p12
181,p141
182,p142
183,p143
184,p110
185,p65
186,p144
187,p57
188,p33
189,p145
190,p146
191,p98
192,p92
193,p147
194,p148
195,p149
196,p150
197,p144
198,p151
199,p152
200,p72
201,p153
202,p17
203,p154
204,p92
205,p142
206,p155
207,p153
208,p156
209,p157
210,p68
211,p158
212,p23
213,p159
214,p160
215,p161
216,p117
217,p105
218,p45
219,p98
220,p162
221,p163
222,p164
223,p165
224,p166
225,p167
226,p168
227,p31
228,p169
229,p8
230,p170
231,p171
232,p153
233,p171
234,p172
235,p2
236,p44
237,p31
238,p13
239,p173
240,p174
241,p175
242,p44
243,p176
244,p124
245,p89
