crash_id,location_id
1,l1
2,l2
3,l3
4,l4
5,l5
6,l6
7,l7
8,l8
9,l9
10,l10
11,l11
12,l12
13,l13
14,l14
15,l15
16,l16
17,l17
18,l18
19,l19
20,l20
21,l21
22,l22
23,l23
24,l24
25,l24
26,l25
27,l26
28,l26
29,l27
30,l28
31,l29
32,l30
33,l31
34,l31
35,l32
36,l33
37,l34
38,l35
39,l36
40,l37
41,l38
42,l39
43,l23
44,l40
45,l41
46,l41
47,l42
48,l43
49,l44
50,l45
51,l46
52,l46
53,l47
54,l47
55,l48
56,l49
57,l50
58,l14
59,l51
60,l52
61,l53
62,l54
63,l55
64,l56
65,l57
66,l58
67,l59
68,l60
69,l61
70,l62
71,l63
72,l64
73,l42
74,l65
75,l66
76,l67
77,l68
78,l69
79,l70
80,l71
81,l72
82,l73
83,l74
84,l75
85,l76
86,l77
87,l28
88,l28
89,l7
90,l78
91,l79
92,l80
93,l81
94,l82
95,l83
96,l84
97,l85
98,l86
99,l87
100,l88
101,l89
102,l90
103,l91
104,l92
105,l93
106,l93
107,l94
108,l94
109,l95
110,l96
111,l97
112,l98
113,l99
114,l100
115,l101
116,l102
117,l103
118,l104
119,l105
120,l105
121,l106
122,l107
123,l108
124,l109
125,l64
126,l15
127,l110
128,l111
129,l112
130,l113
131,l114
132,l115
133,l115
134,l116
135,l117
136,l74
137,l118
138,l119
139,l120
140,l121
141,l122
142,l123
143,l124
144,l98
145,l125
146,l126
147,l127
148,l127
149,l128
150,l129
151,l130
152,l131
153,l132
154,l133
155,l134
156,l135
157,l136
158,l137
159,l138
160,l139
161,l140
162,l140
163,l141
164,l142
165,l105
166,l143
167,l144
168,l144
169,l78
170,l145
171,l146
172,l147
173,l148
174,l149
175,l150
176,l151
177,l9
178,l103
179,l152
180,l90
181,l90
182,l153
183,l43
184,l154
185,l50
186,l155
187,l156
188,l157
189,l158
190,l66
191,l159
192,l160
193,l161
194,l162
195,l163
196,l164
197,l165
198,l11
199,l166
200,l37
201,l167
202,l168
203,l169
204,l170
205,l171
206,l172
207,l173
208,l174
209,l175
210,l176
211,l177
212,l177
213,l24
214,l24
215,l178
216,l161
217,l179
218,l180
219,l92
220,l181
221,l182
222,l183
223,l184
224,l185
225,l186
226,l186
227,l187
228,l15
229,l188
230,l189
231,l190
232,l191
233,l192
234,l193
235,l194
236,l16
237,l195
238,l196
239,l197
240,l198
241,l199
242,l200
243,l201
244,l202
245,l203
246,l204
247,l73
248,l102
249,l205
250,l206
251,l207
252,l208
253,l209
254,l210
255,l211
256,l212
257,l213
258,l213
259,l177
260,l43
261,l15
262,l43
263,l214
264,l33
265,l33
266,l33
267,l33
268,l215
269,l216
270,l217
271,l218
272,l219
273,l220
274,l221
275,l222
276,l223
277,l223
278,l224
279,l225
280,l226
281,l227
282,l228
283,l229
284,l230
285,l231
286,l232
287,l233
288,l234
289,l235
290,l235
291,l236
292,l237
293,l238
294,l239
295,l240
296,l241
297,l148
298,l242
299,l243
300,l244
301,l245
302,l66
303,l246
304,l247
305,l248
306,l249
307,l250
308,l251
309,l252
310,l253
311,l254
312,l255
313,l250
314,l256
315,l257
316,l258
317,l259
318,l260
319,l82
320,l261
321,l251
322,l262
323,l262
324,l263
325,l140
326,l264
327,l265
328,l266
329,l267
330,l54
331,l54
332,l268
333,l269
334,l270
335,l271
336,l142
337,l218
338,l15
339,l272
340,l273
341,l98
342,l274
343,l275
344,l276
345,l277
346,l278
347,l279
348,l280
349,l272
350,l281
351,l282
352,l283
353,l284
354,l247
355,l247
356,l285
357,l286
358,l287
359,l288
360,l44
361,l215
362,l215
363,l289
364,l290
365,l158
366,l291
367,l292
368,l293
369,l294
370,l295
371,l296
372,l297
373,l298
374,l298
375,l298
376,l299
377,l234
378,l300
379,l26
380,l301
381,l302
382,l27
383,l303
384,l304
385,l140
386,l305
387,l306
388,l307
389,l6
390,l308
391,l309
392,l28
393,l29
394,l310
395,l311
396,l312
397,l313
398,l28
399,l230
400,l53
401,l314
402,l315
403,l315
404,l316
405,l316
406,l317
407,l15
408,l318
409,l151
410,l77
411,l319
412,l279
413,l270
414,l320
415,l321
416,l322
417,l292
418,l323
419,l324
420,l325
421,l325
422,l105
423,l105
424,l326
425,l327
426,l328
427,l329
428,l329
429,l330
430,l166
431,l64
432,l64
433,l331
434,l332
435,l333
436,l334
437,l335
438,l336
439,l337
440,l156
441,l338
442,l252
443,l339
444,l339
445,l339
446,l166
447,l340
448,l340
449,l341
450,l276
451,l342
452,l343
453,l66
454,l69
455,l102
456,l135
457,l344
458,l345
459,l345
460,l346
461,l347
462,l348
463,l118
464,l349
465,l350
466,l351
467,l352
468,l47
469,l92
470,l353
471,l354
472,l355
473,l356
474,l357
475,l228
476,l358
477,l191
478,l346
479,l359
480,l54
481,l54
482,l360
483,l361
484,l86
485,l362
486,l363
487,l66
488,l45
489,l339
490,l364
491,l364
492,l262
493,l365
494,l366
495,l280
496,l367
497,l368
498,l368
499,l369
500,l370
501,l371
502,l372
503,l373
504,l43
505,l374
506,l375
507,l376
508,l377
509,l378
510,l379
511,l380
512,l98
513,l98
514,l98
515,l381
516,l382
517,l383
518,l384
519,l385
520,l386
521,l33
522,l210
523,l342
524,l387
525,l388
526,l389
527,l390
528,l391
529,l392
530,l393
531,l307
532,l394
533,l148
534,l148
535,l148
536,l395
537,l129
538,l396
539,l397
540,l398
541,l399
542,l400
543,l303
544,l218
545,l401
546,l402
547,l403
548,l161
549,l404
550,l405
551,l190
552,l262
553,l406
554,l406
555,l407
556,l190
557,l408
558,l140
559,l409
560,l193
561,l410
562,l306
563,l332
564,l411
565,l412
566,l413
567,l338
568,l256
569,l414
570,l415
571,l416
572,l14
573,l417
574,l418
575,l53
576,l53
577,l419
578,l420
579,l421
580,l422
581,l314
582,l423
583,l424
584,l425
585,l426
586,l358
587,l240
588,l427
589,l294
590,l198
591,l428
592,l429
593,l430
594,l431
595,l432
596,l307
597,l307
598,l344
599,l344
600,l15
601,l433
602,l433
