crash_id,time_id
1,t1
2,t2
3,t3
4,t4
5,t5
6,t6
7,t7
8,t8
9,t9
10,t10
11,t11
12,t12
13,t13
14,t14
15,t15
16,t16
17,t17
18,t18
19,t19
20,t20
21,t21
22,t1
23,t22
24,t23
25,t23
26,t24
27,t18
28,t18
29,t18
30,t25
31,t26
32,t27
33,t28
34,t28
35,t29
36,t30
37,t1
38,t31
39,t32
40,t33
41,t34
42,t35
43,t36
44,t37
45,t5
46,t5
47,t38
48,t39
49,t20
50,t40
51,t41
52,t41
53,t11
54,t11
55,t42
56,t35
57,t43
58,t1
59,t44
60,t45
61,t46
62,t26
63,t47
64,t48
65,t49
66,t50
67,t51
68,t1
69,t52
70,t20
71,t53
72,t30
73,t54
74,t55
75,t56
76,t57
77,t58
78,t5
79,t59
80,t60
81,t61
82,t62
83,t63
84,t64
85,t65
86,t66
87,t67
88,t67
89,t18
90,t68
91,t69
92,t70
93,t71
94,t72
95,t73
96,t74
97,t62
98,t12
99,t75
100,t14
101,t76
102,t56
103,t56
104,t77
105,t20
106,t20
107,t78
108,t78
109,t79
110,t7
111,t80
112,t80
113,t81
114,t11
115,t82
116,t51
117,t83
118,t84
119,t85
120,t85
121,t64
122,t86
123,t87
124,t88
125,t45
126,t89
127,t66
128,t90
129,t53
130,t80
131,t91
132,t30
133,t30
134,t1
135,t92
136,t93
137,t14
138,t14
139,t94
140,t46
141,t95
142,t96
143,t97
144,t98
145,t64
146,t99
147,t45
148,t45
149,t100
150,t101
151,t35
152,t35
153,t52
154,t102
155,t103
156,t104
157,t20
158,t105
159,t53
160,t106
161,t11
162,t11
163,t107
164,t61
165,t108
166,t109
167,t110
168,t110
169,t86
170,t56
171,t45
172,t111
173,t26
174,t112
175,t20
176,t113
177,t114
178,t115
179,t116
180,t62
181,t62
182,t117
183,t118
184,t119
185,t120
186,t30
187,t121
188,t122
189,t18
190,t61
191,t61
192,t84
193,t1
194,t123
195,t122
196,t35
197,t5
198,t124
199,t18
200,t106
201,t13
202,t125
203,t44
204,t14
205,t126
206,t56
207,t24
208,t5
209,t5
210,t127
211,t18
212,t18
213,t128
214,t128
215,t129
216,t20
217,t130
218,t131
219,t93
220,t122
221,t132
222,t14
223,t99
224,t5
225,t46
226,t46
227,t133
228,t134
229,t73
230,t135
231,t53
232,t136
233,t7
234,t29
235,t137
236,t1
237,t138
238,t64
239,t59
240,t61
241,t97
242,t139
243,t140
244,t27
245,t141
246,t20
247,t53
248,t61
249,t142
250,t143
251,t144
252,t145
253,t122
254,t35
255,t146
256,t147
257,t18
258,t53
259,t61
260,t142
261,t148
262,t149
263,t80
264,t150
265,t150
266,t150
267,t150
268,t151
269,t152
270,t46
271,t18
272,t18
273,t38
274,t60
275,t153
276,t13
277,t13
278,t154
279,t155
280,t156
281,t157
282,t113
283,t158
284,t61
285,t159
286,t8
287,t109
288,t51
289,t160
290,t160
291,t161
292,t162
293,t22
294,t5
295,t105
296,t105
297,t53
298,t7
299,t163
300,t164
301,t51
302,t1
303,t165
304,t110
305,t166
306,t122
307,t45
308,t66
309,t167
310,t168
311,t1
312,t169
313,t20
314,t64
315,t45
316,t170
317,t171
318,t172
319,t173
320,t174
321,t175
322,t118
323,t118
324,t30
325,t98
326,t98
327,t2
328,t31
329,t176
330,t45
331,t45
332,t5
333,t26
334,t134
335,t177
336,t115
337,t61
338,t178
339,t8
340,t179
341,t62
342,t180
343,t181
344,t182
345,t122
346,t154
347,t183
348,t69
349,t184
350,t185
351,t186
352,t187
353,t188
354,t21
355,t21
356,t45
357,t5
358,t189
359,t190
360,t107
361,t191
362,t191
363,t192
364,t80
365,t80
366,t193
367,t51
368,t194
369,t1
370,t195
371,t196
372,t57
373,t5
374,t5
375,t5
376,t28
377,t35
378,t197
379,t18
380,t198
381,t199
382,t20
383,t200
384,t201
385,t30
386,t202
387,t203
388,t130
389,t7
390,t204
391,t205
392,t206
393,t14
394,t207
395,t45
396,t61
397,t7
398,t208
399,t122
400,t209
401,t35
402,t210
403,t210
404,t46
405,t46
406,t20
407,t20
408,t73
409,t105
410,t118
411,t211
412,t212
413,t213
414,t214
415,t215
416,t216
417,t18
418,t59
419,t217
420,t218
421,t218
422,t219
423,t219
424,t220
425,t221
426,t30
427,t44
428,t44
429,t222
430,t18
431,t18
432,t18
433,t19
434,t26
435,t223
436,t91
437,t224
438,t121
439,t225
440,t226
441,t227
442,t77
443,t5
444,t5
445,t5
446,t18
447,t59
448,t59
449,t90
450,t53
451,t53
452,t40
453,t85
454,t1
455,t64
456,t228
457,t56
458,t229
459,t229
460,t35
461,t5
462,t230
463,t53
464,t177
465,t149
466,t231
467,t182
468,t14
469,t232
470,t233
471,t234
472,t26
473,t235
474,t135
475,t115
476,t74
477,t236
478,t7
479,t8
480,t219
481,t219
482,t51
483,t237
484,t238
485,t14
486,t183
487,t56
488,t99
489,t5
490,t239
491,t239
492,t38
493,t73
494,t47
495,t240
496,t37
497,t18
498,t18
499,t18
500,t241
501,t242
502,t107
503,t177
504,t40
505,t243
506,t244
507,t11
508,t85
509,t245
510,t183
511,t183
512,t56
513,t56
514,t56
515,t226
516,t45
517,t246
518,t247
519,t134
520,t171
521,t78
522,t248
523,t219
524,t51
525,t20
526,t11
527,t51
528,t85
529,t249
530,t14
531,t250
532,t99
533,t45
534,t45
535,t45
536,t251
537,t252
538,t5
539,t5
540,t253
541,t254
542,t172
543,t255
544,t80
545,t256
546,t245
547,t257
548,t61
549,t258
550,t80
551,t64
552,t64
553,t259
554,t259
555,t122
556,t56
557,t260
558,t18
559,t134
560,t261
561,t164
562,t262
563,t263
564,t2
565,t14
566,t35
567,t264
568,t78
569,t95
570,t115
571,t265
572,t11
573,t11
574,t18
575,t233
576,t233
577,t235
578,t266
579,t267
580,t205
581,t80
582,t268
583,t269
584,t35
585,t270
586,t8
587,t90
588,t271
589,t53
590,t51
591,t35
592,t18
593,t20
594,t113
595,t272
596,t223
597,t223
598,t273
599,t273
600,t274
601,t98
602,t98
603,t98
604,t245
605,t56
606,t275
607,t96
608,t192
609,t256
610,t30
611,t98
612,t276
613,t277
614,t277
615,t212
616,t44
617,t57
618,t5
619,t216
620,t235
621,t271
622,t61
623,t116
624,t116
625,t278
626,t221
627,t221
628,t221
629,t279
630,t280
631,t182
632,t122
633,t5
634,t26
635,t26
636,t281
637,t199
638,t282
639,t283
640,t284
641,t47
642,t285
643,t286
644,t287
645,t13
646,t21
647,t288
648,t37
649,t5
650,t289
651,t17
652,t71
653,t40
654,t290
655,t11
656,t11
657,t11
658,t291
659,t291
660,t292
661,t52
662,t5
663,t140
664,t18
665,t293
666,t20
667,t254
668,t254
669,t254
670,t7
671,t294
672,t295
673,t296
674,t297
675,t122
676,t14
677,t154
678,t45
679,t35
680,t8
681,t298
682,t298
683,t91
684,t299
685,t30
686,t98
687,t122
688,t300
689,t301
690,t56
691,t35
692,t6
693,t140
694,t302
695,t26
696,t61
697,t108
698,t219
699,t51
700,t303
701,t64
702,t64
703,t202
704,t202
705,t202
706,t304
707,t33
708,t305
709,t306
710,t147
711,t147
712,t307
713,t308
714,t26
715,t235
716,t235
717,t309
718,t224
719,t14
720,t88
721,t310
722,t5
723,t124
724,t26
725,t20
726,t53
727,t7
728,t164
729,t164
730,t311
731,t252
732,t312
733,t5
734,t135
735,t53
736,t219
737,t313
738,t314
739,t315
740,t98
741,t98
742,t316
743,t317
744,t312
745,t5
746,t318
747,t319
748,t320
749,t321
750,t53
751,t322
752,t283
753,t9
754,t179
755,t80
756,t80
757,t80
758,t117
759,t11
760,t323
761,t85
762,t45
763,t38
764,t199
765,t139
766,t219
767,t84
768,t324
769,t325
770,t326
771,t233
772,t20
773,t61
774,t61
775,t327
776,t328
777,t1
778,t329
779,t45
780,t330
781,t214
782,t184
783,t107
784,t107
785,t331
786,t332
787,t219
788,t219
789,t333
790,t30
791,t85
792,t98
793,t64
794,t14
795,t14
796,t56
797,t306
798,t52
799,t233
800,t26
801,t172
802,t53
803,t261
804,t149
805,t149
806,t334
807,t12
808,t335
809,t336
810,t337
811,t228
812,t233
813,t186
814,t7
815,t338
816,t98
817,t64
818,t18
819,t59
820,t148
821,t339
822,t2
823,t340
824,t340
825,t44
826,t14
827,t341
828,t76
829,t45
830,t46
831,t140
832,t18
833,t26
834,t135
835,t78
836,t8
837,t342
838,t343
839,t85
840,t344
841,t182
842,t182
843,t345
844,t35
845,t210
846,t346
847,t53
848,t60
849,t80
850,t80
851,t347
852,t83
853,t83
854,t83
855,t83
856,t161
857,t1
858,t56
859,t348
860,t35
861,t312
862,t37
863,t349
864,t253
865,t142
866,t142
867,t142
868,t350
869,t125
870,t1
871,t64
872,t14
873,t56
874,t56
875,t45
876,t351
877,t352
878,t26
879,t47
880,t7
881,t217
882,t353
883,t122
884,t354
885,t5
886,t26
887,t186
888,t355
889,t356
890,t1
891,t64
892,t304
893,t122
894,t357
895,t99
896,t358
897,t7
898,t9
899,t359
900,t66
901,t232
902,t35
903,t24
904,t360
905,t18
906,t7
907,t361
908,t238
909,t228
910,t45
911,t171
912,t362
913,t73
914,t107
915,t177
916,t7
917,t62
918,t11
919,t363
920,t33
921,t25
922,t134
923,t53
924,t283
925,t283
926,t47
927,t364
928,t364
929,t365
930,t30
931,t366
932,t289
933,t367
934,t368
935,t369
936,t370
937,t180
938,t45
939,t37
940,t37
941,t26
942,t26
943,t371
944,t219
945,t219
946,t372
947,t373
948,t93
949,t182
950,t374
951,t14
952,t375
953,t375
954,t35
955,t18
956,t308
957,t53
958,t95
959,t376
960,t376
961,t182
962,t22
963,t94
964,t289
965,t219
966,t377
967,t98
968,t64
969,t87
970,t45
971,t378
972,t35
973,t5
974,t379
975,t53
976,t60
977,t380
978,t334
979,t206
980,t381
981,t382
982,t365
983,t383
984,t384
985,t64
986,t222
987,t35
988,t67
989,t37
990,t37
991,t37
992,t140
993,t385
994,t53
995,t53
996,t95
997,t95
998,t61
999,t219
1000,t14
1001,t386
1002,t24
1003,t387
1004,t388
1005,t18
1006,t389
1007,t112
1008,t200
1009,t174
1010,t390
1011,t51
1012,t221
1013,t386
1014,t35
1015,t35
1016,t94
1017,t312
1018,t26
1019,t172
1020,t53
1021,t53
1022,t107
1023,t391
1024,t392
1025,t7
1026,t9
1027,t393
1028,t394
1029,t394
1030,t395
1031,t269
1032,t91
1033,t14
1034,t154
1035,t396
1036,t396
1037,t35
1038,t52
1039,t397
1040,t346
1041,t107
1042,t47
1043,t142
1044,t398
1045,t219
1046,t13
1047,t110
1048,t399
1049,t44
1050,t400
1051,t401
1052,t214
1053,t18
1054,t26
1055,t402
1056,t53
1057,t78
1058,t62
1059,t403
1060,t57
1061,t354
1062,t404
1063,t405
1064,t26
1065,t53
1066,t219
1067,t51
1068,t98
1069,t406
1070,t406
1071,t406
1072,t122
1073,t407
1074,t14
1075,t408
1076,t20
1077,t62
1078,t240
1079,t373
1080,t409
1081,t259
1082,t410
1083,t76
1084,t411
1085,t412
1086,t413
1087,t414
1088,t56
1089,t56
1090,t15
1091,t15
1092,t45
1093,t215
1094,t46
1095,t319
1096,t90
1097,t26
1098,t61
1099,t30
1100,t415
1101,t415
1102,t14
1103,t416
1104,t416
1105,t417
1106,t68
1107,t20
1108,t80
1109,t418
1110,t416
1111,t419
1112,t45
1113,t308
1114,t61
1115,t420
1116,t337
1117,t421
1118,t252
1119,t422
1120,t53
1121,t423
1122,t217
1123,t49
1124,t424
1125,t382
1126,t98
1127,t425
1128,t20
1129,t53
1130,t221
1131,t182
1132,t14
1133,t426
1134,t228
1135,t35
1136,t18
1137,t18
1138,t26
1139,t26
1140,t26
1141,t427
1142,t117
1143,t2
1144,t121
1145,t428
1146,t18
1147,t59
1148,t61
1149,t369
1150,t429
1151,t75
1152,t202
1153,t122
1154,t14
1155,t430
1156,t73
1157,t53
1158,t8
1159,t356
1160,t206
1161,t29
1162,t219
1163,t372
1164,t221
1165,t30
1166,t85
1167,t161
1168,t182
1169,t431
1170,t73
1171,t334
1172,t11
1173,t85
1174,t85
1175,t85
1176,t122
1177,t14
1178,t330
1179,t25
1180,t20
1181,t130
1182,t432
1183,t53
1184,t433
1185,t434
1186,t18
1187,t171
1188,t20
1189,t53
1190,t177
1191,t9
1192,t435
1193,t436
1194,t437
1195,t438
1196,t439
1197,t439
1198,t324
1199,t410
1200,t419
1201,t99
1202,t440
1203,t66
1204,t66
1205,t232
1206,t235
1207,t78
1208,t78
1209,t78
1210,t139
1211,t81
1212,t76
1213,t441
1214,t412
1215,t442
1216,t235
1217,t174
1218,t219
1219,t443
1220,t444
1221,t13
1222,t64
1223,t182
1224,t445
1225,t359
1226,t14
1227,t45
1228,t45
1229,t35
1230,t35
1231,t35
1232,t215
1233,t18
1234,t25
1235,t385
1236,t446
1237,t356
1238,t356
1239,t164
1240,t164
1241,t447
1242,t448
1243,t122
1244,t14
1245,t66
1246,t449
1247,t352
1248,t26
1249,t171
1250,t141
1251,t450
1252,t61
1253,t61
1254,t80
1255,t91
1256,t451
1257,t333
1258,t452
1259,t1
1260,t98
1261,t14
1262,t56
1263,t56
1264,t45
1265,t152
1266,t152
1267,t35
1268,t5
1269,t17
1270,t453
1271,t235
1272,t282
1273,t53
1274,t53
1275,t53
1276,t62
1277,t149
1278,t11
1279,t454
1280,t455
1281,t456
1282,t1
1283,t344
1284,t457
1285,t56
1286,t434
1287,t105
1288,t53
1289,t61
1290,t174
1291,t174
1292,t8
1293,t8
1294,t458
1295,t459
1296,t460
1297,t354
1298,t233
1299,t408
1300,t112
1301,t97
1302,t7
1303,t7
1304,t286
1305,t110
1306,t45
1307,t45
1308,t66
1309,t28
1310,t461
1311,t462
1312,t9
1313,t9
1314,t80
1315,t196
1316,t5
1317,t69
1318,t408
1319,t463
1320,t53
1321,t12
1322,t144
1323,t98
