crash_id,speed_id
1,s1
2,s2
3,s3
4,s1
5,s1
6,s1
7,s4
8,s3
9,s1
10,s3
11,s5
12,s6
13,s1
14,s2
15,s4
16,s4
17,s1
18,s1
19,s1
20,s7
21,s6
22,s1
23,s1
24,s6
25,s6
26,s3
27,s1
28,s1
29,s3
30,s1
31,s5
32,s1
33,s1
34,s1
35,s2
36,s6
37,s1
38,s3
39,s3
40,s3
41,s1
42,s4
43,s1
44,s8
45,s1
46,s1
47,s1
48,s4
49,s1
50,s1
51,s1
52,s1
53,s4
54,s4
55,s4
56,s1
57,s1
58,s4
59,s6
60,s4
61,s1
62,s2
63,s1
64,s2
65,s3
66,s1
67,s1
68,s8
69,s6
70,s2
71,s1
72,s1
73,s1
74,s4
75,s5
76,s1
77,s1
78,s1
79,s1
80,s6
81,s1
82,s2
83,s4
84,s3
85,s4
86,s4
87,s1
88,s1
89,s1
90,s5
91,s1
92,s2
93,s1
94,s4
95,s5
96,s3
97,s3
98,s2
99,s1
100,s1
101,s4
102,s2
103,s9
104,s1
105,s1
106,s1
107,s1
108,s1
109,s1
110,s2
111,s2
112,s1
113,s4
114,s4
115,s1
116,s4
117,s2
118,s2
119,s6
120,s6
121,s3
122,s6
123,s3
124,s2
125,s4
126,s8
127,s2
128,s1
129,s2
130,s7
131,s2
132,s4
133,s4
134,s3
135,s6
136,s3
137,s5
138,s3
139,s3
140,s1
141,s1
142,s2
143,s5
144,s1
145,s1
146,s2
147,s1
148,s1
149,s6
150,s2
151,s4
152,s1
153,s1
154,s2
155,s1
156,s3
157,s1
158,s2
159,s1
160,s3
161,s1
162,s1
163,s3
164,s1
165,s1
166,s6
167,s1
168,s1
169,s1
170,s2
171,s4
172,s1
173,s1
174,s2
175,s2
176,s1
177,s3
178,s2
179,s6
180,s2
181,s2
182,s4
183,s5
184,s3
185,s1
186,s4
187,s1
188,s1
189,s1
190,s4
191,s1
192,s1
193,s2
194,s2
195,s2
196,s1
197,s4
198,s2
199,s1
200,s3
201,s2
202,s8
203,s6
204,s1
205,s1
206,s2
207,s3
208,s1
209,s1
210,s4
211,s8
212,s8
213,s6
214,s6
215,s2
216,s4
217,s1
218,s1
219,s1
220,s1
221,s2
222,s4
223,s6
224,s3
225,s5
226,s5
227,s1
228,s2
229,s2
230,s6
231,s4
232,s4
233,s4
234,s5
235,s6
236,s4
237,s1
238,s1
239,s7
240,s1
241,s2
242,s3
243,s2
244,s1
245,s2
246,s3
247,s1
248,s5
249,s3
250,s1
251,s3
252,s3
253,s3
254,s2
255,s3
256,s4
257,s4
258,s1
259,s2
260,s5
261,s4
262,s4
263,s1
264,s6
265,s6
266,s6
267,s6
268,s1
269,s4
270,s1
271,s4
272,s2
273,s2
274,s3
275,s3
276,s4
277,s4
278,s3
279,s3
280,s1
281,s1
282,s8
283,s1
284,s4
285,s4
286,s2
287,s5
288,s1
289,s1
290,s1
291,s2
292,s3
293,s3
294,s7
295,s4
296,s1
297,s1
298,s1
299,s2
300,s4
301,s5
302,s5
303,s4
304,s2
305,s2
306,s1
307,s1
308,s3
309,s4
310,s1
311,s4
312,s2
313,s1
314,s4
315,s1
316,s4
317,s1
318,s4
319,s2
320,s4
321,s4
322,s2
323,s2
324,s3
325,s1
326,s1
327,s1
328,s5
329,s1
330,s1
331,s1
332,s1
333,s1
334,s2
335,s4
336,s5
337,s5
338,s3
339,s4
340,s1
341,s1
342,s3
343,s4
344,s2
345,s1
346,s6
347,s1
348,s4
349,s2
350,s4
351,s3
352,s7
353,s1
354,s2
355,s2
356,s2
357,s2
358,s2
359,s3
360,s1
361,s1
362,s1
363,s2
364,s1
365,s2
366,s4
367,s3
368,s4
369,s4
370,s4
371,s2
372,s1
373,s1
374,s1
375,s1
376,s1
377,s1
378,s3
379,s1
380,s2
381,s4
382,s4
383,s6
384,s5
385,s1
386,s1
387,s7
388,s5
389,s6
390,s4
391,s4
392,s1
393,s2
394,s2
395,s4
396,s1
397,s1
398,s1
399,s4
400,s1
401,s1
402,s1
403,s1
404,s1
405,s1
