crash_id,vehicle_id
1,v1
2,v1
3,v1
4,v1
5,v1
6,v1
7,v1
8,v1
9,v1
10,v1
11,v1
12,v2
13,v1
14,v1
15,v2
16,v1
17,v1
18,v1
19,v1
20,v1
21,v3
22,v1
23,v1
24,v1
25,v1
26,v1
27,v1
28,v1
29,v1
30,v1
31,v4
32,v1
33,v1
34,v1
35,v1
36,v2
37,v1
38,v1
39,v1
40,v1
41,v1
42,v1
43,v1
44,v1
45,v1
46,v1
47,v1
48,v1
49,v1
50,v1
51,v1
52,v1
53,v1
54,v1
55,v1
56,v2
57,v1
58,v1
59,v2
60,v1
61,v1
62,v1
63,v1
64,v5
65,v6
66,v2
67,v1
68,v1
69,v1
70,v1
71,v1
72,v2
73,v1
74,v1
75,v1
76,v1
77,v1
78,v1
79,v1
80,v1
81,v1
82,v1
83,v1
84,v1
85,v1
86,v1
87,v1
88,v1
89,v1
90,v2
91,v1
92,v1
93,v1
94,v1
95,v1
96,v1
97,v1
98,v1
99,v1
100,v2
101,v1
102,v1
103,v1
104,v1
105,v1
106,v1
107,v1
108,v1
109,v1
110,v6
111,v1
112,v1
113,v1
114,v1
115,v1
116,v1
117,v1
118,v1
119,v2
120,v2
121,v1
122,v5
123,v1
124,v1
125,v1
126,v1
127,v1
128,v1
129,v1
130,v1
131,v1
132,v5
133,v5
134,v1
135,v1
136,v1
137,v1
138,v1
139,v6
140,v2
141,v1
142,v1
143,v4
144,v1
145,v2
146,v2
147,v1
148,v1
149,v1
150,v1
151,v1
152,v2
153,v4
154,v1
155,v1
156,v1
157,v1
158,v1
159,v1
160,v1
161,v2
162,v2
163,v4
164,v2
165,v1
166,v2
167,v4
168,v4
169,v1
170,v1
171,v1
172,v1
173,v2
174,v1
175,v1
176,v1
177,v1
178,v1
179,v1
180,v1
181,v1
182,v4
183,v1
184,v1
185,v1
186,v1
187,v1
188,v2
189,v1
190,v1
191,v1
192,v2
193,v1
194,v1
195,v4
196,v1
197,v1
198,v1
199,v1
200,v1
201,v1
202,v1
203,v1
204,v1
205,v1
206,v1
207,v1
208,v1
209,v1
210,v1
211,v1
212,v1
213,v1
214,v1
215,v1
216,v1
217,v1
218,v1
219,v1
220,v1
221,v1
222,v1
223,v1
224,v1
225,v6
226,v6
227,v1
228,v1
229,v1
230,v1
231,v1
232,v1
233,v1
234,v1
235,v1
236,v1
237,v1
238,v1
239,v1
240,v1
241,v1
242,v1
243,v1
244,v1
245,v1
246,v1
247,v1
248,v1
249,v1
250,v1
251,v1
252,v1
253,v1
254,v1
255,v1
256,v1
257,v1
258,v4
259,v1
260,v1
261,v6
262,v1
263,v1
264,v1
265,v1
266,v1
267,v1
268,v1
269,v1
270,v1
271,v1
272,v1
273,v1
274,v1
275,v1
276,v1
277,v1
278,v1
279,v1
280,v1
281,v1
282,v1
283,v1
284,v1
285,v1
286,v1
287,v1
288,v1
289,v1
290,v1
291,v1
292,v1
293,v1
294,v1
295,v1
296,v1
297,v1
298,v1
299,v4
300,v1
301,v1
302,v1
303,v1
304,v1
305,v1
306,v2
307,v1
308,v1
309,v1
310,v1
311,v1
312,v1
313,v4
314,v1
315,v1
316,v1
317,v1
318,v1
319,v1
320,v1
321,v1
322,v1
323,v1
324,v1
325,v2
326,v1
327,v1
328,v1
329,v1
330,v1
331,v1
332,v1
333,v1
334,v5
335,v1
336,v1
337,v1
338,v1
339,v1
340,v1
341,v1
342,v1
343,v4
344,v4
345,v1
346,v1
347,v1
348,v1
349,v1
350,v1
351,v1
352,v1
353,v1
354,v1
355,v1
356,v1
357,v1
358,v1
359,v1
360,v1
361,v1
362,v1
363,v1
364,v1
365,v1
366,v1
367,v1
368,v1
369,v1
370,v1
371,v1
372,v1
373,v1
374,v1
375,v1
376,v1
377,v1
378,v4
379,v4
380,v1
381,v1
382,v1
383,v1
384,v1
385,v2
386,v1
387,v4
388,v1
389,v1
390,v1
391,v1
392,v1
393,v1
394,v1
395,v4
396,v2
397,v1
398,v1
399,v1
400,v1
401,v1
402,v1
403,v1
404,v1
405,v1
406,v1
407,v1
408,v4
409,v1
410,v1
411,v1
412,v1
413,v5
414,v2
415,v1
416,v1
417,v4
418,v1
419,v1
420,v1
421,v1
422,v2
423,v2
424,v1
425,v1
426,v1
427,v1
428,v1
429,v2
430,v1
431,v1
432,v1
433,v1
434,v1
435,v1
436,v1
437,v1
438,v1
439,v1
440,v4
441,v1
442,v1
443,v1
444,v1
445,v1
446,v1
447,v1
448,v1
449,v1
450,v1
451,v1
452,v1
453,v1
454,v1
455,v1
456,v1
457,v2
458,v1
459,v1
460,v4
461,v1
462,v1
463,v1
464,v1
465,v2
466,v2
467,v1
468,v1
469,v1
470,v1
471,v1
472,v6
473,v1
474,v1
475,v1
476,v1
477,v1
478,v2
479,v1
480,v2
481,v2
482,v1
483,v1
484,v1
485,v2
486,v1
487,v1
488,v2
489,v1
490,v1
491,v1
492,v1
493,v4
494,v1
495,v1
496,v1
497,v1
498,v1
499,v1
500,v1
501,v1
502,v1
503,v1
504,v1
505,v1
506,v1
507,v6
508,v1
509,v1
510,v1
511,v1
512,v1
513,v1
514,v1
515,v1
516,v1
517,v1
518,v1
519,v1
520,v1
521,v5
522,v1
523,v1
524,v1
525,v1
526,v1
527,v1
528,v1
529,v1
530,v1
531,v1
532,v1
533,v6
534,v6
535,v6
536,v1
537,v1
538,v2
539,v1
